Player,Pos,Age,Tm,Link,Status
Spencer Dinwiddie,PG,29,DAL,https://www.basketball-reference.com/players/d/dinwisp01.html,Active
Donte DiVincenzo,SG,26,GSW,https://www.basketball-reference.com/players/d/divindo01.html,Active
Luka Dončić,PG,23,DAL,https://www.basketball-reference.com/players/d/doncilu01.html,Active
Tyler Dorsey,SG,26,DAL,https://www.basketball-reference.com/players/d/dorsety01.html,Active
Luguentz Dort,SG,23,OKC,https://www.basketball-reference.com/players/d/dortlu01.html,Active
Ayo Dosunmu,SG,23,CHI,https://www.basketball-reference.com/players/d/dosunay01.html,Active
Devon Dotson,PG,23,WAS,https://www.basketball-reference.com/players/d/dotsode01.html,Active
Jeff Dowtin,PG,25,TOR,https://www.basketball-reference.com/players/d/dowtije01.html,Active
PJ Dozier,SG,26,SAC,https://www.basketball-reference.com/players/d/doziepj01.html,Active
Goran Dragić,PG,36,CHI,https://www.basketball-reference.com/players/d/dragigo01.html,Active
Andre Drummond,C,29,CHI,https://www.basketball-reference.com/players/d/drumman01.html,Active
Chris Duarte,SF,25,IND,https://www.basketball-reference.com/players/d/duartch01.html,Active
David Duke Jr.,SG,23,BRK,https://www.basketball-reference.com/players/d/dukeda01.html,Active
Kevin Durant,PF,34,BRK,https://www.basketball-reference.com/players/d/duranke01.html,Active
Jalen Duren,C,19,DET,https://www.basketball-reference.com/players/d/durenja01.html,Active
Tari Eason,PF,21,HOU,https://www.basketball-reference.com/players/e/easonta01.html,Active
Anthony Edwards,SG,21,MIN,https://www.basketball-reference.com/players/e/edwaran01.html,Active
Kessler Edwards,SF,22,BRK,https://www.basketball-reference.com/players/e/edwarke02.html,Active
Keon Ellis,SG,23,SAC,https://www.basketball-reference.com/players/e/elliske01.html,Active
Joel Embiid,C,28,PHI,https://www.basketball-reference.com/players/e/embiijo01.html,Active
Drew Eubanks,C,25,POR,https://www.basketball-reference.com/players/e/eubandr01.html,Active
Bruno Fernando,C,24,HOU,https://www.basketball-reference.com/players/f/fernabr01.html,Active
Dorian Finney-Smith,PF,29,DAL,https://www.basketball-reference.com/players/f/finnedo01.html,Active
Malachi Flynn,PG,24,TOR,https://www.basketball-reference.com/players/f/flynnma01.html,Active
Simone Fontecchio,SF,27,UTA,https://www.basketball-reference.com/players/f/fontesi01.html,Active
Bryn Forbes,SG,29,MIN,https://www.basketball-reference.com/players/f/forbebr01.html,Active
Trent Forrest,PG,24,ATL,https://www.basketball-reference.com/players/f/forretr01.html,Active
Michael Foster Jr.,PF,20,PHI,https://www.basketball-reference.com/players/f/fostemi02.html,Active
Evan Fournier,SG,30,NYK,https://www.basketball-reference.com/players/f/fournev01.html,Active
De'Aaron Fox,PG,25,SAC,https://www.basketball-reference.com/players/f/foxde01.html,Active
Markelle Fultz,PG,24,ORL,https://www.basketball-reference.com/players/f/fultzma01.html,Active
Wenyen Gabriel,PF,25,LAL,https://www.basketball-reference.com/players/g/gabriwe01.html,Active
Daniel Gafford,C,24,WAS,https://www.basketball-reference.com/players/g/gaffoda01.html,Active
Darius Garland,PG,23,CLE,https://www.basketball-reference.com/players/g/garlada01.html,Active
Usman Garuba,PF,20,HOU,https://www.basketball-reference.com/players/g/garubus01.html,Active
Luka Garza,C,24,MIN,https://www.basketball-reference.com/players/g/garzalu01.html,Active
Rudy Gay,PF,36,UTA,https://www.basketball-reference.com/players/g/gayru01.html,Active
Paul George,SG,32,LAC,https://www.basketball-reference.com/players/g/georgpa01.html,Active
Taj Gibson,C,37,WAS,https://www.basketball-reference.com/players/g/gibsota01.html,Active
Josh Giddey,SG,20,OKC,https://www.basketball-reference.com/players/g/giddejo01.html,Active
Shai Gilgeous-Alexander,PG,24,OKC,https://www.basketball-reference.com/players/g/gilgesh01.html,Active
Anthony Gill,PF,30,WAS,https://www.basketball-reference.com/players/g/gillan01.html,Active
Rudy Gobert,C,30,MIN,https://www.basketball-reference.com/players/g/goberru01.html,Active
Jordan Goodwin,PG,24,WAS,https://www.basketball-reference.com/players/g/goodwjo01.html,Active
Aaron Gordon,PF,27,DEN,https://www.basketball-reference.com/players/g/gordoaa01.html,Active
Eric Gordon,SG,34,HOU,https://www.basketball-reference.com/players/g/gordoer01.html,Active
Devonte' Graham,PG,27,NOP,https://www.basketball-reference.com/players/g/grahade01.html,Active
Jerami Grant,PF,28,POR,https://www.basketball-reference.com/players/g/grantje01.html,Active
A.J. Green,SG,23,MIL,https://www.basketball-reference.com/players/g/greenaj01.html,Active
Danny Green,SG,35,MEM,https://www.basketball-reference.com/players/g/greenda02.html,Active
Draymond Green,PF,32,GSW,https://www.basketball-reference.com/players/g/greendr01.html,Active
Jalen Green,SG,20,HOU,https://www.basketball-reference.com/players/g/greenja05.html,Active
JaMychal Green,PF,32,GSW,https://www.basketball-reference.com/players/g/greenja01.html,Active
Javonte Green,SG,29,CHI,https://www.basketball-reference.com/players/g/greenja02.html,Active
Jeff Green,PF,36,DEN,https://www.basketball-reference.com/players/g/greenje02.html,Active
Josh Green,SG,22,DAL,https://www.basketball-reference.com/players/g/greenjo02.html,Active
AJ Griffin,SF,19,ATL,https://www.basketball-reference.com/players/g/griffaj01.html,Active
Blake Griffin,C,33,BOS,https://www.basketball-reference.com/players/g/griffbl01.html,Active
Quentin Grimes,SG,22,NYK,https://www.basketball-reference.com/players/g/grimequ01.html,Active
Rui Hachimura,PF,24,TOT,https://www.basketball-reference.com/players/h/hachiru01.html,Active
Rui Hachimura,PF,24,WAS,https://www.basketball-reference.com/players/h/hachiru01.html,Active
Rui Hachimura,PF,24,LAL,https://www.basketball-reference.com/players/h/hachiru01.html,Active
Tyrese Haliburton,PG,22,IND,https://www.basketball-reference.com/players/h/halibty01.html,Active
Jordan Hall,SF,21,SAS,https://www.basketball-reference.com/players/h/halljo02.html,Active
R.J. Hampton,PG,21,ORL,https://www.basketball-reference.com/players/h/hamptrj01.html,Active
