,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,PG,SG,SF,PF,C,Player Name
3,2020-21,22.0,WAS,NBA,C,23.0,408.0,25.4,0.696,0.0,0.486,13.0,20.2,16.6,4.4,1.7,8.4,10.2,18.9,,1.3,0.7,2.0,0.235,,2.5,1.6,4.0,0.6,False,False,False,True,True,Daniel Gafford
4,2021-22,23.0,WAS,NBA,C,72.0,1444.0,21.8,0.708,0.002,0.372,12.1,19.0,15.6,7.3,1.0,5.8,12.0,16.7,,4.4,1.6,6.0,0.198,,1.1,0.5,1.6,1.3,False,False,False,True,True,Daniel Gafford
5,2022-23,24.0,WAS,NBA,C,38.0,611.0,20.8,0.738,0.0,0.49,12.9,18.3,15.7,5.3,1.1,6.4,15.7,15.9,,1.6,0.9,2.5,0.193,,0.3,0.8,1.1,0.5,False,False,False,True,True,Daniel Gafford
6,Career,,,NBA,,207.0,3455.0,20.7,0.707,0.001,0.429,11.9,17.3,14.6,6.1,1.2,6.9,13.4,16.0,,9.1,4.6,13.7,0.191,,0.2,1.0,1.1,2.7,False,False,False,True,True,Daniel Gafford
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True,Daniel Gafford
8,3 seasons,,WAS,NBA,,133.0,2463.0,22.1,0.712,0.001,0.42,12.5,19.0,15.8,6.4,1.2,6.4,12.5,16.9,,7.2,3.2,10.4,0.203,,1.1,0.7,1.9,2.4,False,False,False,True,True,Daniel Gafford
9,2 seasons,,CHI,NBA,,74.0,992.0,17.2,0.691,0.0,0.457,10.5,12.8,11.7,5.6,1.2,8.3,16.1,13.7,,1.9,1.4,3.3,0.16,,-2.3,1.5,-0.7,0.3,False,False,False,True,True,Daniel Gafford
0,2019-20,20.0,CLE,NBA,SG,59.0,1824.0,8.5,0.498,0.423,0.103,1.6,5.2,3.4,18.5,1.1,0.2,17.1,20.7,,-1.3,0.0,-1.3,-0.034,,-2.7,-2.8,-5.5,-1.7,True,True,False,False,False,Darius Garland
1,2020-21,21.0,CLE,NBA,PG,54.0,1790.0,14.2,0.547,0.332,0.165,1.4,6.8,4.0,30.9,1.8,0.3,16.0,24.9,,0.3,0.9,1.2,0.033,,0.0,-2.1,-2.1,-0.1,True,True,False,False,False,Darius Garland
2,2021-22,22.0,CLE,NBA,PG,68.0,2430.0,19.0,0.576,0.387,0.205,1.8,8.2,5.1,39.9,1.8,0.3,16.2,27.8,,3.8,2.5,6.3,0.125,,3.4,-0.8,2.6,2.8,True,True,False,False,False,Darius Garland
3,2022-23,23.0,CLE,NBA,PG,30.0,1078.0,18.6,0.578,0.377,0.291,1.5,7.1,4.3,34.6,1.8,0.4,14.8,26.9,,1.9,1.3,3.2,0.143,,3.2,-0.6,2.6,1.2,True,True,False,False,False,Darius Garland
4,Career,,,NBA,,211.0,7122.0,15.0,0.552,0.379,0.186,1.6,6.9,4.3,31.3,1.6,0.3,16.1,25.1,,4.7,4.8,9.5,0.064,,1.0,-1.6,-0.7,2.3,True,True,False,False,False,Darius Garland
0,2021-22,19.0,HOU,NBA,PF,24.0,239.0,12.9,0.51,0.455,0.159,9.6,28.7,19.1,9.6,2.0,4.1,11.3,9.4,,0.2,0.3,0.5,0.105,,-1.8,0.9,-0.9,0.1,False,False,False,True,False,Usman Garuba
1,2022-23,20.0,HOU,NBA,PF,35.0,515.0,15.0,0.569,0.233,0.367,14.8,22.6,18.7,9.4,2.5,3.9,18.7,10.4,,0.6,0.7,1.3,0.121,,-0.8,1.4,0.6,0.3,False,False,False,True,False,Usman Garuba
2,Career,,,NBA,,59.0,754.0,14.4,0.551,0.306,0.299,13.1,24.5,18.8,9.5,2.4,3.9,16.5,10.1,,0.8,1.0,1.8,0.116,,-1.1,1.2,0.1,0.4,False,False,False,True,False,Usman Garuba
0,2021-22,23.0,DET,NBA,C,32.0,389.0,15.6,0.535,0.333,0.415,15.3,12.3,13.9,8.3,1.1,1.4,9.4,21.1,,0.5,0.2,0.8,0.093,,-0.5,-2.0,-2.5,-0.1,False,False,False,False,True,Luka Garza
1,2022-23,24.0,MIN,NBA,C,9.0,59.0,21.3,0.631,0.231,0.5,11.6,20.0,15.9,10.5,0.0,1.6,8.6,25.0,,0.2,0.0,0.2,0.194,,-0.1,-1.8,-1.9,0.0,False,False,False,False,True,Luka Garza
2,Career,,,NBA,,41.0,448.0,16.3,0.55,0.318,0.428,14.8,13.3,14.2,8.6,1.0,1.4,9.3,21.7,,0.7,0.3,1.0,0.106,,-0.4,-2.0,-2.4,-0.1,False,False,False,False,True,Luka Garza
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,True,Luka Garza
4,1 season,,DET,NBA,,32.0,389.0,15.6,0.535,0.333,0.415,15.3,12.3,13.9,8.3,1.1,1.4,9.4,21.1,,0.5,0.2,0.8,0.093,,-0.5,-2.0,-2.5,-0.1,False,False,False,False,True,Luka Garza
5,1 season,,MIN,NBA,,9.0,59.0,21.3,0.631,0.231,0.5,11.6,20.0,15.9,10.5,0.0,1.6,8.6,25.0,,0.2,0.0,0.2,0.194,,-0.1,-1.8,-1.9,0.0,False,False,False,False,True,Luka Garza
0,2006-07,20.0,MEM,NBA,SF,78.0,2103.0,12.4,0.497,0.188,0.275,5.3,14.5,9.9,8.0,1.7,2.7,14.1,21.3,,-0.5,1.0,0.5,0.011,,-1.5,-0.7,-2.2,-0.1,False,False,True,True,False,Rudy Gay
1,2007-08,21.0,MEM,NBA,SF,81.0,3000.0,17.4,0.546,0.286,0.233,5.2,13.5,9.3,9.3,1.9,1.9,11.3,25.0,,2.9,2.1,5.0,0.08,,1.5,-0.6,0.8,2.1,False,False,True,True,False,Rudy Gay
2,2008-09,22.0,MEM,NBA,SF,79.0,2945.0,15.3,0.528,0.192,0.273,4.5,13.9,9.1,8.7,1.8,1.6,12.6,25.6,,0.7,2.6,3.3,0.054,,0.0,-1.1,-1.1,0.7,False,False,True,True,False,Rudy Gay
3,2009-10,23.0,MEM,NBA,SF,80.0,3175.0,16.2,0.535,0.157,0.311,4.2,13.2,8.7,7.8,1.9,1.5,10.3,22.5,,4.0,2.4,6.4,0.096,,0.8,-0.3,0.5,2.0,False,False,True,True,False,Rudy Gay
4,2010-11,24.0,MEM,NBA,SF,54.0,2152.0,17.8,0.548,0.166,0.277,4.5,14.2,9.3,11.6,2.2,2.2,12.2,23.3,,2.7,2.9,5.5,0.123,,1.9,0.8,2.8,2.6,False,False,True,True,False,Rudy Gay
5,2011-12,25.0,MEM,NBA,SF,65.0,2422.0,17.8,0.521,0.162,0.246,6.1,14.1,10.1,10.8,2.1,1.8,12.0,25.1,,2.8,3.3,6.0,0.12,,1.7,0.2,1.9,2.4,False,False,True,True,False,Rudy Gay
6,2012-13,26.0,TOT,NBA,SF,75.0,2687.0,15.6,0.494,0.208,0.235,4.3,16.3,10.2,13.6,2.3,1.6,12.5,27.2,,0.1,3.9,4.0,0.072,,0.5,0.5,1.1,2.1,False,False,True,True,False,Rudy Gay
7,2012-13,26.0,MEM,NBA,SF,42.0,1541.0,14.1,0.478,0.188,0.227,4.2,15.1,9.5,12.4,2.0,1.7,12.1,25.7,,-0.2,2.6,2.4,0.075,,-0.2,0.7,0.5,0.9,False,False,True,True,False,Rudy Gay
8,2012-13,26.0,TOR,NBA,SF,33.0,1146.0,17.6,0.513,0.232,0.246,4.4,17.8,11.0,15.3,2.6,1.5,13.1,29.1,,0.3,1.4,1.6,0.068,,1.5,0.3,1.9,1.1,False,False,True,True,False,Rudy Gay
9,2013-14,27.0,TOT,NBA,SF,73.0,2531.0,18.3,0.54,0.167,0.328,5.0,14.8,9.8,15.1,1.9,1.8,14.2,27.6,,2.3,2.5,4.8,0.091,,1.8,0.0,1.7,2.4,False,False,True,True,False,Rudy Gay
10,2013-14,27.0,TOR,NBA,SF,18.0,639.0,14.7,0.468,0.176,0.263,5.3,19.1,12.1,11.5,2.3,2.9,13.6,30.8,,-0.8,1.1,0.3,0.021,,-0.1,0.7,0.6,0.4,False,False,True,True,False,Rudy Gay
11,2013-14,27.0,SAC,NBA,SF,55.0,1892.0,19.6,0.567,0.164,0.354,4.9,13.3,9.1,16.3,1.8,1.4,14.5,26.6,,3.0,1.5,4.5,0.114,,2.4,-0.3,2.1,2.0,False,False,True,True,False,Rudy Gay
12,2014-15,28.0,SAC,NBA,SF,68.0,2408.0,19.7,0.556,0.197,0.352,4.8,13.7,9.4,19.0,1.5,1.3,12.4,27.0,,4.8,1.3,6.1,0.122,,3.4,-0.7,2.7,2.9,False,False,True,True,False,Rudy Gay
13,2015-16,29.0,SAC,NBA,SF,70.0,2379.0,15.5,0.538,0.214,0.252,4.7,15.9,10.4,8.0,2.0,1.7,11.1,22.4,,1.8,2.1,3.8,0.078,,-0.1,-0.3,-0.3,1.0,False,False,True,True,False,Rudy Gay
14,2016-17,30.0,SAC,NBA,SF,30.0,1013.0,17.9,0.559,0.256,0.312,4.0,17.5,10.8,14.1,2.2,2.3,12.8,25.8,,0.8,1.0,1.8,0.087,,1.4,0.5,1.9,1.0,False,False,True,True,False,Rudy Gay
15,2017-18,31.0,SAS,NBA,PF,57.0,1231.0,18.0,0.545,0.22,0.27,6.8,19.5,13.1,9.8,1.9,2.6,11.5,24.6,,1.0,2.1,3.1,0.122,,0.2,0.6,0.8,0.9,False,False,True,True,False,Rudy Gay
16,2018-19,32.0,SAS,NBA,PF,69.0,1842.0,17.5,0.583,0.247,0.197,3.8,23.9,13.9,14.7,1.4,1.6,12.3,22.1,,2.2,2.2,4.4,0.115,,0.8,0.6,1.4,1.6,False,False,True,True,False,Rudy Gay
17,2019-20,33.0,SAS,NBA,PF,67.0,1461.0,15.4,0.553,0.369,0.228,4.5,22.2,13.4,11.3,1.1,2.0,11.8,22.0,,0.9,1.1,2.1,0.068,,0.0,-0.9,-0.8,0.4,False,False,True,True,False,Rudy Gay
18,2020-21,34.0,SAS,NBA,PF,63.0,1358.0,14.7,0.532,0.443,0.162,3.2,20.9,11.9,9.7,1.6,2.5,8.8,23.6,,0.0,1.7,1.7,0.059,,-0.1,0.0,-0.1,0.6,False,False,True,True,False,Rudy Gay
19,2021-22,35.0,UTA,NBA,PF,55.0,1038.0,13.0,0.539,0.536,0.208,6.0,19.1,12.8,7.8,1.2,1.6,10.2,19.3,,0.8,1.3,2.1,0.097,,-0.7,-0.3,-1.0,0.3,False,False,True,True,False,Rudy Gay
20,2022-23,36.0,UTA,NBA,SF,25.0,390.0,7.3,0.444,0.529,0.14,3.9,17.5,10.7,5.7,1.5,2.1,10.5,15.4,,-0.3,0.4,0.0,0.003,,-4.5,0.0,-4.5,-0.2,False,False,True,True,False,Rudy Gay
21,Career,,,NBA,,1089.0,34135.0,16.4,0.535,0.23,0.265,4.8,15.9,10.3,11.1,1.8,1.9,12.0,24.2,,26.9,33.8,60.7,0.085,,0.8,-0.2,0.6,22.6,False,False,True,True,False,Rudy Gay
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,True,False,Rudy Gay
23,7 seasons,,MEM,NBA,,479.0,17338.0,16.1,0.526,0.195,0.265,4.9,14.0,9.4,9.5,1.9,1.9,11.9,24.1,,12.4,16.8,29.2,0.081,,0.7,-0.2,0.4,10.6,False,False,True,True,False,Rudy Gay
24,4 seasons,,SAS,NBA,,256.0,5892.0,16.4,0.555,0.319,0.211,4.5,21.9,13.1,11.7,1.5,2.1,11.2,23.0,,4.1,7.1,11.3,0.092,,0.3,0.1,0.4,3.5,False,False,True,True,False,Rudy Gay
25,4 seasons,,SAC,NBA,,223.0,7692.0,18.1,0.554,0.201,0.318,4.7,14.8,9.8,14.3,1.8,1.6,12.6,25.3,,10.4,5.9,16.3,0.102,,1.8,-0.3,1.5,6.8,False,False,True,True,False,Rudy Gay
26,2 seasons,,UTA,NBA,,80.0,1428.0,11.5,0.516,0.534,0.192,5.4,18.7,12.2,7.2,1.3,1.7,10.3,18.3,,0.5,1.6,2.1,0.071,,-1.7,-0.2,-1.9,0.0,False,False,True,True,False,Rudy Gay
27,2 seasons,,TOR,NBA,,51.0,1785.0,16.5,0.497,0.211,0.252,4.7,18.3,11.4,13.9,2.5,2.0,13.3,29.7,,-0.5,2.4,1.9,0.051,,0.9,0.5,1.4,1.5,False,False,True,True,False,Rudy Gay
0,2010-11,20.0,IND,NBA,SG,61.0,1265.0,13.0,0.542,0.349,0.256,3.3,16.3,9.8,8.3,2.5,1.5,13.7,17.8,,0.5,1.9,2.4,0.091,,-1.6,1.4,-0.1,0.6,False,True,True,True,False,Paul George
1,2011-12,21.0,IND,NBA,SG,66.0,1958.0,16.5,0.555,0.366,0.285,3.2,17.9,10.6,13.6,2.9,1.5,14.0,19.3,,2.8,3.2,6.0,0.148,,1.4,2.1,3.4,2.7,False,True,True,True,False,Paul George
2,2012-13,22.0,IND,NBA,SF,79.0,2972.0,16.8,0.531,0.399,0.233,3.4,19.0,11.3,19.6,2.6,1.3,15.2,23.5,,2.7,6.3,9.0,0.145,,1.5,2.3,3.8,4.4,False,True,True,True,False,Paul George
3,2013-14,23.0,IND,NBA,SF,80.0,2898.0,20.1,0.555,0.367,0.341,2.6,17.7,10.5,17.9,2.7,0.6,12.5,28.3,,4.4,6.4,10.8,0.178,,2.7,2.1,4.9,5.0,False,True,True,True,False,Paul George
4,2014-15,24.0,IND,NBA,SF,6.0,91.0,13.0,0.492,0.449,0.224,4.9,21.7,13.4,11.8,2.8,0.9,18.2,32.8,,-0.2,0.2,0.0,-0.008,,-2.3,0.1,-2.2,0.0,False,True,True,True,False,Paul George
5,2015-16,25.0,IND,NBA,SF,81.0,2819.0,20.9,0.557,0.391,0.364,3.1,18.7,10.9,20.3,2.7,0.8,13.6,30.4,,4.4,4.8,9.2,0.157,,3.7,1.2,4.9,4.9,False,True,True,True,False,Paul George
6,2016-17,26.0,IND,NBA,SF,75.0,2689.0,20.2,0.587,0.368,0.277,2.5,17.9,10.3,16.1,2.2,0.9,12.7,28.9,,3.9,3.1,7.1,0.126,,3.0,0.1,3.1,3.4,False,True,True,True,False,Paul George
7,2017-18,27.0,OKC,NBA,SF,79.0,2891.0,18.7,0.57,0.454,0.307,2.7,14.9,8.6,14.5,2.8,1.2,12.2,25.7,,5.0,3.9,8.9,0.147,,2.3,0.6,2.9,3.6,False,True,True,True,False,Paul George
8,2018-19,28.0,OKC,NBA,SF,77.0,2841.0,23.3,0.583,0.469,0.335,3.7,19.6,11.4,17.7,2.8,1.0,10.0,29.5,,7.0,4.9,11.9,0.201,,5.6,1.6,7.2,6.6,False,True,True,True,False,Paul George
9,2019-20,29.0,LAC,NBA,SF,48.0,1419.0,21.1,0.589,0.487,0.277,1.8,17.7,10.0,21.1,2.3,1.2,12.5,29.6,,2.5,2.3,4.8,0.161,,3.8,1.1,4.9,2.5,False,True,True,True,False,Paul George
10,2020-21,30.0,LAC,NBA,SF,54.0,1821.0,20.5,0.598,0.437,0.239,2.9,18.9,11.1,24.6,1.7,1.2,14.5,30.0,,3.0,2.3,5.3,0.139,,3.9,0.3,4.2,2.9,False,True,True,True,False,Paul George
11,2021-22,31.0,LAC,NBA,PF,31.0,1077.0,18.6,0.538,0.404,0.233,1.2,19.2,10.5,28.1,3.0,1.0,15.2,33.7,,-0.6,1.9,1.3,0.057,,1.8,1.9,3.7,1.6,False,True,True,True,False,Paul George
12,2022-23,32.0,LAC,NBA,SF,29.0,1004.0,20.4,0.594,0.442,0.285,2.1,16.8,9.7,26.5,2.2,1.1,14.8,30.5,,1.2,1.5,2.7,0.129,,2.9,0.9,3.9,1.5,False,True,True,True,False,Paul George
13,Career,,,NBA,,766.0,25745.0,19.4,0.567,0.414,0.296,2.8,17.9,10.5,18.4,2.6,1.1,13.1,27.2,,36.6,42.7,79.3,0.148,,2.8,1.3,4.1,39.5,False,True,True,True,False,Paul George
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,True,False,Paul George
15,7 seasons,,IND,NBA,,448.0,14692.0,18.5,0.556,0.378,0.301,3.0,18.1,10.7,16.9,2.6,1.0,13.6,25.8,,18.6,25.9,44.5,0.145,,2.1,1.5,3.7,20.9,False,True,True,True,False,Paul George
16,4 seasons,,LAC,NBA,,162.0,5321.0,20.3,0.582,0.444,0.256,2.1,18.2,10.4,24.7,2.2,1.2,14.2,30.7,,6.0,8.0,14.0,0.127,,3.3,0.9,4.2,8.4,False,True,True,True,False,Paul George
17,2 seasons,,OKC,NBA,,156.0,5732.0,20.9,0.577,0.462,0.322,3.2,17.3,10.0,16.1,2.8,1.1,11.0,27.6,,12.0,8.8,20.8,0.174,,3.9,1.1,5.0,10.2,False,True,True,True,False,Paul George
0,2009-10,24.0,CHI,NBA,PF,82.0,2204.0,13.8,0.521,0.0,0.278,11.6,19.2,15.4,5.0,1.2,3.6,13.9,16.7,,1.2,3.5,4.7,0.103,,-2.4,0.5,-2.0,0.0,False,False,False,True,True,Taj Gibson
1,2010-11,25.0,CHI,NBA,PF,80.0,1742.0,14.3,0.502,0.016,0.295,11.2,19.4,15.4,5.3,1.2,4.6,11.1,16.8,,1.4,3.8,5.2,0.143,,-2.2,1.4,-0.9,0.5,False,False,False,True,True,Taj Gibson
2,2011-12,26.0,CHI,NBA,PF,63.0,1284.0,16.9,0.522,0.0,0.334,12.0,16.8,14.4,5.9,1.1,4.5,11.5,18.6,,1.8,2.6,4.5,0.167,,-0.7,1.5,0.8,0.9,False,False,False,True,True,Taj Gibson
3,2012-13,27.0,CHI,NBA,PF,65.0,1459.0,14.4,0.518,0.009,0.297,9.7,17.5,13.6,7.1,1.0,4.7,13.2,18.1,,1.0,2.3,3.3,0.109,,-2.1,1.0,-1.1,0.3,False,False,False,True,True,Taj Gibson
4,2013-14,28.0,CHI,NBA,PF,82.0,2351.0,16.0,0.524,0.008,0.314,9.8,17.1,13.5,7.3,0.9,3.7,12.8,23.0,,1.4,4.4,5.7,0.117,,-1.3,0.4,-1.0,0.6,False,False,False,True,True,Taj Gibson
5,2014-15,29.0,CHI,NBA,PF,62.0,1692.0,16.1,0.545,0.0,0.364,10.7,14.6,12.7,6.9,1.1,3.2,11.6,17.6,,2.7,2.1,4.8,0.137,,-0.5,0.1,-0.4,0.7,False,False,False,True,True,Taj Gibson
6,2015-16,30.0,CHI,NBA,PF,73.0,1936.0,15.7,0.556,0.006,0.292,11.4,15.9,13.7,8.3,1.2,2.9,12.1,14.6,,3.2,2.2,5.4,0.133,,-0.4,0.4,0.0,1.0,False,False,False,True,True,Taj Gibson
7,2016-17,31.0,TOT,NBA,PF,78.0,1989.0,15.0,0.543,0.018,0.223,8.6,17.9,13.2,5.9,1.0,2.6,11.9,19.3,,1.6,2.5,4.0,0.097,,-1.1,-0.4,-1.5,0.2,False,False,False,True,True,Taj Gibson
8,2016-17,31.0,CHI,NBA,PF,55.0,1502.0,15.4,0.549,0.023,0.225,8.5,19.0,13.7,6.5,0.9,2.6,11.7,19.2,,1.4,1.9,3.3,0.104,,-1.0,-0.2,-1.2,0.3,False,False,False,True,True,Taj Gibson
9,2016-17,31.0,OKC,NBA,PF,23.0,487.0,13.8,0.528,0.006,0.218,8.6,14.8,11.7,4.2,1.4,2.5,12.5,19.5,,0.2,0.6,0.8,0.076,,-1.7,-0.9,-2.5,-0.1,False,False,False,True,True,Taj Gibson
10,2017-18,32.0,MIN,NBA,PF,82.0,2726.0,15.4,0.61,0.047,0.251,8.1,16.7,12.4,5.2,1.1,1.9,9.8,14.7,,5.4,1.7,7.2,0.126,,0.1,-0.7,-0.5,1.0,False,False,False,True,True,Taj Gibson
11,2018-19,33.0,MIN,NBA,PF,70.0,1686.0,17.8,0.612,0.063,0.33,10.8,18.3,14.5,7.3,1.5,2.0,10.6,17.2,,3.7,1.4,5.1,0.144,,0.3,-0.4,-0.1,0.8,False,False,False,True,True,Taj Gibson
12,2019-20,34.0,NYK,NBA,C,62.0,1025.0,16.1,0.61,0.049,0.196,11.2,16.7,13.9,7.6,1.3,2.8,13.1,14.8,,1.8,0.8,2.6,0.12,,-0.8,-0.3,-1.1,0.2,False,False,False,True,True,Taj Gibson
13,2020-21,35.0,NYK,NBA,C,45.0,936.0,16.0,0.661,0.095,0.348,11.6,17.3,14.5,5.4,1.7,5.0,10.8,9.7,,2.1,1.7,3.8,0.195,,-0.7,2.1,1.3,0.8,False,False,False,True,True,Taj Gibson
14,2021-22,36.0,NYK,NBA,C,52.0,946.0,12.0,0.606,0.229,0.313,9.8,16.3,13.0,4.9,1.2,4.2,12.5,10.0,,1.4,1.2,2.7,0.135,,-3.0,1.0,-2.0,0.0,False,False,False,True,True,Taj Gibson
15,2022-23,37.0,WAS,NBA,PF,23.0,206.0,12.7,0.599,0.224,0.345,6.7,12.5,9.7,8.1,2.4,2.5,14.1,16.5,,0.2,0.3,0.5,0.106,,-3.9,1.0,-2.9,0.0,False,False,False,True,True,Taj Gibson
16,Career,,,NBA,,919.0,22182.0,15.4,0.554,0.028,0.291,10.3,17.2,13.8,6.3,1.2,3.3,12.0,16.8,,28.8,30.5,59.3,0.128,,-1.1,0.4,-0.7,7.1,False,False,False,True,True,Taj Gibson
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True,Taj Gibson
18,8 seasons,,CHI,NBA,,562.0,14170.0,15.3,0.529,0.008,0.299,10.6,17.4,14.1,6.6,1.1,3.7,12.4,18.1,,14.0,22.8,36.8,0.125,,-1.4,0.6,-0.8,4.4,False,False,False,True,True,Taj Gibson
19,3 seasons,,NYK,NBA,,159.0,2907.0,14.7,0.623,0.11,0.267,10.9,16.8,13.8,6.0,1.4,3.9,12.3,11.6,,5.3,3.8,9.0,0.149,,-1.5,0.9,-0.6,1.0,False,False,False,True,True,Taj Gibson
20,2 seasons,,MIN,NBA,,152.0,4412.0,16.3,0.611,0.054,0.284,9.1,17.3,13.2,6.0,1.3,1.9,10.2,15.7,,9.1,3.1,12.2,0.133,,0.2,-0.6,-0.4,1.8,False,False,False,True,True,Taj Gibson
21,1 season,,OKC,NBA,,23.0,487.0,13.8,0.528,0.006,0.218,8.6,14.8,11.7,4.2,1.4,2.5,12.5,19.5,,0.2,0.6,0.8,0.076,,-1.7,-0.9,-2.5,-0.1,False,False,False,True,True,Taj Gibson
22,1 season,,WAS,NBA,,23.0,206.0,12.7,0.599,0.224,0.345,6.7,12.5,9.7,8.1,2.4,2.5,14.1,16.5,,0.2,0.3,0.5,0.106,,-3.9,1.0,-2.9,0.0,False,False,False,True,True,Taj Gibson
0,2021-22,19.0,OKC,NBA,SF,54.0,1700.0,13.3,0.478,0.318,0.118,5.8,19.8,12.7,32.3,1.5,1.1,19.5,22.2,,-1.3,1.7,0.4,0.01,,-1.2,0.3,-0.9,0.5,False,True,True,False,False,Josh Giddey
1,2022-23,20.0,OKC,NBA,SG,31.0,956.0,14.9,0.52,0.217,0.113,6.4,21.8,13.9,26.3,1.0,1.4,18.0,23.6,,-0.3,1.1,0.8,0.041,,-0.1,-0.6,-0.7,0.3,False,True,True,False,False,Josh Giddey
2,Career,,,NBA,,85.0,2656.0,13.9,0.494,0.279,0.116,6.0,20.5,13.2,30.1,1.3,1.2,19.0,22.7,,-1.6,2.8,1.2,0.021,,-0.8,0.0,-0.8,0.8,False,True,True,False,False,Josh Giddey
0,2018-19,20.0,LAC,NBA,PG,82.0,2174.0,13.4,0.554,0.194,0.272,2.9,8.3,5.7,17.8,2.1,1.6,15.0,18.3,,1.5,1.9,3.3,0.074,,-0.9,0.4,-0.5,0.8,True,True,False,False,False,Shai Gilgeous-Alexander
1,2019-20,21.0,OKC,NBA,SG,70.0,2428.0,17.7,0.568,0.247,0.352,2.2,16.1,9.4,15.2,1.6,1.7,10.3,23.7,,3.1,3.0,6.1,0.121,,1.3,0.4,1.7,2.2,True,True,False,False,False,Shai Gilgeous-Alexander
2,2020-21,22.0,OKC,NBA,SG,35.0,1180.0,21.6,0.623,0.301,0.405,1.7,13.1,7.3,31.2,1.1,1.7,13.7,27.8,,2.7,0.8,3.5,0.143,,3.9,0.2,4.1,1.8,True,True,False,False,False,Shai Gilgeous-Alexander
3,2021-22,23.0,OKC,NBA,PG,56.0,1942.0,20.9,0.557,0.282,0.385,1.9,13.0,7.4,31.1,1.8,2.2,11.1,30.8,,2.8,1.8,4.6,0.113,,2.9,0.5,3.4,2.7,True,True,False,False,False,Shai Gilgeous-Alexander
4,2022-23,24.0,OKC,NBA,SG,33.0,1179.0,26.6,0.615,0.141,0.489,2.5,11.9,7.1,27.6,2.2,2.6,11.6,33.0,,3.6,1.4,5.0,0.204,,5.4,1.1,6.5,2.5,True,True,False,False,False,Shai Gilgeous-Alexander
5,Career,,,NBA,,276.0,8903.0,19.1,0.579,0.237,0.377,2.3,12.6,7.5,23.1,1.8,1.9,12.1,25.7,,13.7,8.9,22.6,0.122,,2.0,0.5,2.5,10.0,True,True,False,False,False,Shai Gilgeous-Alexander
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,Shai Gilgeous-Alexander
7,4 seasons,,OKC,NBA,,194.0,6729.0,20.9,0.584,0.246,0.4,2.1,14.0,8.0,24.8,1.7,2.0,11.4,28.1,,12.2,7.0,19.2,0.137,,2.9,0.5,3.4,9.2,True,True,False,False,False,Shai Gilgeous-Alexander
8,1 season,,LAC,NBA,,82.0,2174.0,13.4,0.554,0.194,0.272,2.9,8.3,5.7,17.8,2.1,1.6,15.0,18.3,,1.5,1.9,3.3,0.074,,-0.9,0.4,-0.5,0.8,True,True,False,False,False,Shai Gilgeous-Alexander
0,2020-21,28.0,WAS,NBA,PF,26.0,218.0,13.7,0.597,0.4,0.267,7.8,17.0,12.4,6.7,2.1,1.5,10.7,14.2,,0.3,0.3,0.6,0.123,,-1.6,0.3,-1.3,0.0,False,False,False,True,False,Anthony Gill
1,2021-22,29.0,WAS,NBA,PF,44.0,463.0,14.7,0.682,0.239,0.477,8.0,12.2,10.2,8.3,0.5,2.0,12.0,14.4,,1.1,0.2,1.4,0.14,,-0.6,-1.3,-1.9,0.0,False,False,False,True,False,Anthony Gill
2,2022-23,30.0,WAS,NBA,PF,30.0,301.0,10.2,0.64,0.255,0.309,5.7,9.3,7.6,6.1,0.8,1.4,7.4,9.8,,0.5,0.2,0.7,0.113,,-2.7,-0.4,-3.0,-0.1,False,False,False,True,False,Anthony Gill
3,Career,,,NBA,,100.0,982.0,13.1,0.65,0.286,0.379,7.3,12.4,9.9,7.3,1.0,1.7,10.6,12.9,,1.9,0.7,2.6,0.128,,-1.5,-0.6,-2.1,0.0,False,False,False,True,False,Anthony Gill
0,2013-14,21.0,UTA,NBA,C,45.0,434.0,12.9,0.507,0.0,0.878,13.1,28.5,20.6,2.4,1.0,7.4,23.8,14.2,,-0.2,0.6,0.4,0.045,,-3.6,0.9,-2.7,-0.1,False,False,False,False,True,Rudy Gobert
1,2014-15,22.0,UTA,NBA,C,82.0,2158.0,21.6,0.627,0.005,0.639,14.3,27.2,20.7,8.2,1.6,7.0,16.9,14.0,,5.0,4.3,9.3,0.206,,1.7,2.5,4.2,3.4,False,False,False,False,True,Rudy Gobert
2,2015-16,23.0,UTA,NBA,C,61.0,1932.0,17.5,0.582,0.0,0.799,12.6,27.7,20.2,7.4,1.2,5.9,19.2,14.2,,2.6,3.8,6.4,0.16,,0.0,2.2,2.2,2.0,False,False,False,False,True,Rudy Gobert
